Super-Reino	Filo	Classe	Ordem	Familia	Genero	Especie	LGM047_BAC-1.2	LGM0159_1_EL_BAC-1.25
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aestuarium	Aestuarium zhoushanense	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Heliomarina	Heliomarina baculiformis	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marimonas	Marimonas lutisalis	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Schleiferiaceae	Phaeocystidibacter	Phaeocystidibacter marisrubri	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudooceanicola	Pseudooceanicola endophyticus	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	unclassified	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Ruegeria	Ruegeria pomeroyi	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Wandonia	Wandonia haliotis NBRC 105642	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium marisflavi	1.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Fluviicola	Fluviicola taffensis	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudaestuariivita	Pseudaestuariivita atlantica	1.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Thalassococcus	Thalassococcus profundi	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Schleiferiaceae	Phaeocystidibacter	Phaeocystidibacter luteus	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	unclassified	unclassified	unclassified	0.0	0.0
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Pelomonas saccharophila	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Shimia	Shimia sediminis	1.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marinitalea	Marinitalea sucinacia	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Thalassobius	Thalassobius mangrovi	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aureisphaera	Aureisphaera galaxeae	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Donghicola	Donghicola eburneus	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Aequoribacter	Aequoribacter fuscus	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Tolumonas auensis	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Schleiferiaceae	Croceimicrobium	Croceimicrobium hydrocarbonivorans	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Arenibacterium	Arenibacterium halophilum	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Neptunomonas	Neptunomonas antarctica	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Mesobacterium	Mesobacterium pallidum	0.0	0.0
Bacteria	Cyanobacteria	unclassified	unclassified	unclassified	unclassified	unclassified	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas fenneropenaei	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Crocinitomicaceae	Salinirepens	Salinirepens amamiensis	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas	Tolumonas osonensis	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	Candidatus Pelagibacter ubique HTCC1062	4.0	1.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Albibacillus	Albibacillus kandeliae	0.0	0.0
Bacteria	Actinobacteria	Actinomycetia	Sporichthyales	Sporichthyaceae	Sporichthya	Sporichthya polymorpha DSM 43042	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Thalassococcus	Thalassococcus lentus	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger	Salipiger abyssi	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Oceanicola	Oceanicola granulosus	0.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Pelagimonas	Pelagimonas phthalicica	0.0	0.0
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas	Pseudoalteromonas xiamenensis	0.0	0.0
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Fluviibacteraceae	Fluviibacter	Fluviibacter phosphoraccumulans	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium proteolyticum	0.0	0.0
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium	Cloacibacterium normanense	1.0	0.0
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Leisingera	Leisingera methylohalidivorans DSM 14336	0.0	0.0
